"player_id","playerName","teamName","G","TPA","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","K","SB","BBK","BABIP","AVG","OBP","SLG","OPS","RC","RC27","wRC","wOBA","oWAR"
272,"고종욱","SSG",88,199,180,48,41,5,0,2,25,18,16,0,30,2,0.533,0.307,0.267,0.323,0.328,0.651,18.28,3.4275,18.37,0.304,-0.34
236,"이성열","한화",46,140,119,25,15,8,0,2,15,20,18,0,36,1,0.5,0.277,0.21,0.314,0.328,0.642,13.77,3.793776,12.83,0.304,-0.34
1485,"조용호","KT",138,515,428,101,86,14,1,0,71,48,74,0,85,12,0.871,0.29,0.236,0.349,0.273,0.622,46.77,3.567203,49.95,0.31,-0.35
1769,"김규성","KIA",54,41,36,5,4,1,0,0,8,2,5,0,17,0,0.294,0.263,0.139,0.244,0.167,0.411,1.6,1.35,0.43,0.215,-0.35
1508,"김성윤","삼성",30,19,18,3,3,0,0,0,7,2,0,0,5,0,0,0.214,0.167,0.158,0.167,0.325,0.4,0.635294,-1.01,0.145,-0.36
274,"박정음","Hero",70,18,14,0,0,0,0,0,19,1,2,0,3,4,0.667,0,0,0.167,0,0.167,0,0,-1.2,0.13,-0.36
1687,"김도환","삼성",25,46,41,6,4,2,0,0,1,1,2,0,20,0,0.1,0.286,0.146,0.222,0.195,0.417,1.87,1.364595,0.17,0.207,-0.37
682,"이우성","KIA",65,100,85,17,12,5,0,0,12,4,13,0,17,2,0.765,0.246,0.2,0.303,0.259,0.562,7.48,2.766575,6.7,0.277,-0.4
1916,"김휘집","Hero",34,89,70,9,7,1,0,1,9,8,13,0,23,1,0.565,0.17,0.129,0.279,0.186,0.465,5.34,2.218154,3.61,0.248,-0.4
1924,"장지승","한화",24,72,61,11,9,1,0,1,7,5,7,0,24,2,0.292,0.27,0.18,0.271,0.246,0.517,4.15,1.965789,3.26,0.253,-0.41
139,"나지완","KIA",31,102,81,13,12,1,0,0,3,7,14,0,29,0,0.483,0.245,0.16,0.324,0.173,0.497,5.9,2.2125,6.51,0.273,-0.41
1703,"구본혁","LG",123,45,38,5,3,2,0,0,10,3,3,0,7,0,0.429,0.152,0.132,0.205,0.184,0.389,2.04,1.53,-0.52,0.191,-0.41
603,"최민재","롯데",21,27,25,2,1,1,0,0,2,2,2,0,8,2,0.25,0.118,0.08,0.148,0.12,0.268,0.51,0.57375,-1.6,0.138,-0.41
576,"정진기","SSG",2,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-1.3,0,-0.41
1318,"황대인","KIA",86,308,282,67,43,10,1,13,30,45,18,0,62,0,0.29,0.255,0.238,0.283,0.418,0.701,32.54,3.836594,29.56,0.308,-0.43
331,"이천웅","LG",67,210,180,36,27,7,0,2,20,16,25,0,23,3,1.087,0.218,0.2,0.306,0.272,0.578,14.36,2.438491,15.4,0.284,-0.43
1321,"김재성","LG",58,73,65,9,5,2,1,1,6,3,5,0,13,1,0.385,0.154,0.138,0.208,0.246,0.454,3.45,1.5525,0.61,0.212,-0.43
1364,"허정협","Hero",29,52,45,7,7,0,0,0,5,2,7,0,10,0,0.7,0.2,0.156,0.269,0.156,0.425,2.21,1.53,1.17,0.228,-0.44
576,"정진기","NC",86,199,186,43,29,8,0,6,27,21,10,0,37,6,0.27,0.259,0.231,0.274,0.371,0.645,18.72,3.3696,15.66,0.289,-0.46
